Travaux de construction ;C01;C01 - Bâtiments;30220000;Ouvrages permanents
Travaux de construction ;C01;C01 - Bâtiments;30221000;Ouvrages commerciaux ou récréatifs
Travaux de construction ;C01;C01 - Bâtiments;30221001;Galeries marchandes
Travaux de construction ;C01;C01 - Bâtiments;30221002;Stationnements
Travaux de construction ;C01;C01 - Bâtiments;30221003;Cafétéria
Travaux de construction ;C01;C01 - Bâtiments;30221004;Magasins commerciaux
Travaux de construction ;C01;C01 - Bâtiments;30221005;Centres commerciaux
Travaux de construction ;C01;C01 - Bâtiments;30221006;Cantines
Travaux de construction ;C01;C01 - Bâtiments;30221007;Salle de spectacle - de cinéma
Travaux de construction ;C01;C01 - Bâtiments;30221009;Marchés
Travaux de construction ;C01;C01 - Bâtiments;30221010;Terrains de jeux
Travaux de construction ;C01;C01 - Bâtiments;30221011;Zoo
Travaux de construction ;C01;C01 - Bâtiments;30221012;Jardins
Travaux de construction ;C01;C01 - Bâtiments;30221013;Parcs
Travaux de construction ;C01;C01 - Bâtiments;30221014;Ports de plaisance
Travaux de construction ;C01;C01 - Bâtiments;30222000;Ouvrages - transport
Travaux de construction ;C01;C01 - Bâtiments;30222003;Gares d'autobus
Travaux de construction ;C01;C01 - Bâtiments;30222004;Dépôts d'autobus
Travaux de construction ;C01;C01 - Bâtiments;30222005;Bâtiment d'aire de service, de repos ou de desserte
Travaux de construction ;C01;C01 - Bâtiments;30222006;Gares ferroviaires
Travaux de construction ;C01;C01 - Bâtiments;30222007;Dépôts ferroviaires
Travaux de construction ;C01;C01 - Bâtiments;30222008;Gares ferroviaires souterraines
Travaux de construction ;C01;C01 - Bâtiments;30222009;Terminaux ferroviaires
Travaux de construction ;C01;C01 - Bâtiments;30222010;Dépôts de tramway
Travaux de construction ;C01;C01 - Bâtiments;30222011;Quais de tramway
Travaux de construction ;C01;C01 - Bâtiments;30222012;Bâtiments d'aéroport
Travaux de construction ;C01;C01 - Bâtiments;30222013;Tours de contrôle aéroportuaires
Travaux de construction ;C01;C01 - Bâtiments;30222025;Postes rouliers
Travaux de construction ;C01;C01 - Bâtiments;30222026;Phares
Travaux de construction ;C01;C01 - Bâtiments;30222063;Haltes routières
Travaux de construction ;C01;C01 - Bâtiments;30222100;Ouvrages publics
Travaux de construction ;C01;C01 - Bâtiments;30222101;Bureaux de poste
Travaux de construction ;C01;C01 - Bâtiments;30222102;Banques
Travaux de construction ;C01;C01 - Bâtiments;30222103;Postes de police
Travaux de construction ;C01;C01 - Bâtiments;30222104;Palais de justice
Travaux de construction ;C01;C01 - Bâtiments;30222105;Prisons
Travaux de construction ;C01;C01 - Bâtiments;30222106;Postes de pompiers
Travaux de construction ;C01;C01 - Bâtiments;30222107;Postes ambulanciers
